iter	Accuracy	Logloss
0	0.8244382022	0.6736163057
1	0.8230337079	0.6544216883
2	0.8342696629	0.6408029648
3	0.8328651685	0.6231567762
4	0.8370786517	0.6086613586
5	0.8398876404	0.5958247315
6	0.8370786517	0.5820177714
7	0.8384831461	0.5679788115
8	0.8426966292	0.5558045893
9	0.8426966292	0.543587636
10	0.8426966292	0.5345773141
11	0.8398876404	0.5260718101
12	0.8426966292	0.5179150531
13	0.8412921348	0.5084215669
14	0.8398876404	0.5036414289
15	0.8384831461	0.4966180785
16	0.8412921348	0.4899293447
17	0.8370786517	0.4826702902
18	0.8412921348	0.4761706312
19	0.8398876404	0.4688144086
20	0.8370786517	0.462308146
21	0.8398876404	0.459279685
22	0.8398876404	0.4550855159
23	0.8398876404	0.4508262976
24	0.8398876404	0.4461033836
25	0.8398876404	0.441903763
26	0.8398876404	0.4373540376
27	0.8398876404	0.4335799428
28	0.8398876404	0.4296988852
29	0.8398876404	0.4256549002
30	0.8398876404	0.4222344312
31	0.8398876404	0.4206487622
32	0.8398876404	0.4175153326
33	0.8412921348	0.415539036
34	0.8412921348	0.4123023077
35	0.8426966292	0.4094871727
36	0.8441011236	0.4063386541
37	0.8426966292	0.4040947477
38	0.8441011236	0.4013544875
39	0.8441011236	0.3996441549
40	0.8426966292	0.3975169895
41	0.845505618	0.3954251242
42	0.845505618	0.3929926432
43	0.8483146067	0.3900082697
44	0.8483146067	0.3881484952
45	0.8483146067	0.3865760578
46	0.8497191011	0.3847032144
47	0.8511235955	0.3834854802
48	0.8511235955	0.3819706827
49	0.8511235955	0.3798317904
50	0.8525280899	0.3788072468
51	0.8553370787	0.377754968
52	0.8553370787	0.376110104
53	0.8553370787	0.3743667254
54	0.8539325843	0.373318165
55	0.8553370787	0.3720249671
56	0.8539325843	0.3703058067
57	0.8595505618	0.368438622
58	0.8595505618	0.3662772124
59	0.8595505618	0.3654465869
60	0.8595505618	0.364262262
61	0.8595505618	0.3628357464
62	0.8595505618	0.3617313405
63	0.8595505618	0.3607556595
64	0.8595505618	0.3592950803
65	0.8595505618	0.3585240638
66	0.8595505618	0.3570051385
67	0.8609550562	0.3561889951
68	0.8623595506	0.3552631648
69	0.8623595506	0.3545136004
70	0.8637640449	0.3538031806
71	0.8651685393	0.3530873481
72	0.8651685393	0.3523882715
73	0.8637640449	0.3520620456
74	0.8637640449	0.3507837268
75	0.8637640449	0.3500810154
76	0.8637640449	0.349630756
77	0.8637640449	0.3488233695
78	0.8637640449	0.3483607059
79	0.8637640449	0.3468553874
80	0.8637640449	0.3463720297
81	0.8637640449	0.3459198087
82	0.8651685393	0.3450001624
83	0.8651685393	0.3445927001
84	0.8665730337	0.3438490356
85	0.8679775281	0.3427788777
86	0.8679775281	0.3419250577
87	0.8679775281	0.3410610734
88	0.8707865169	0.3400204658
89	0.8707865169	0.3387324652
90	0.8735955056	0.3376059746
91	0.8721910112	0.3370461782
92	0.875	0.3363033031
93	0.875	0.3353545357
94	0.875	0.3346842189
95	0.875	0.3343024674
96	0.875	0.333503176
97	0.875	0.3329967102
98	0.875	0.3320745013
99	0.8792134831	0.3307288323
100	0.8792134831	0.3294210255
101	0.8792134831	0.3287699792
102	0.8764044944	0.3280728135
103	0.8764044944	0.3272612017
104	0.8764044944	0.3267793228
105	0.8806179775	0.3261123227
106	0.8806179775	0.3253387972
107	0.8806179775	0.3246397671
108	0.8806179775	0.3241548808
109	0.8806179775	0.3238251181
110	0.8806179775	0.3232686998
111	0.8806179775	0.3228890272
112	0.8806179775	0.3223403638
113	0.8806179775	0.3218011022
114	0.8834269663	0.3214430532
115	0.8848314607	0.3204451587
116	0.8848314607	0.3197357278
117	0.8862359551	0.3187574431
118	0.8876404494	0.3176995944
119	0.8876404494	0.3171957819
120	0.8876404494	0.3160759037
121	0.8876404494	0.3150946796
122	0.8876404494	0.3146774107
123	0.8890449438	0.3140666458
124	0.8890449438	0.3136673192
125	0.8904494382	0.3133678099
126	0.8904494382	0.3128774662
127	0.8918539326	0.3124289091
128	0.8918539326	0.3117099993
129	0.893258427	0.31123185
130	0.8904494382	0.3108027118
131	0.8904494382	0.3104435223
132	0.893258427	0.3093603716
